吓,haa5,1000
吓,haa2,4
只,zi2,2
只,zek3,
咁隻,gam2 zek3,
B,bi1,
BB,bi4 bi1,
丅,haa6,3
隊,dei6,
散黄,saan2 wong2,3
撈渣,laau4 zaa1,3
只夠,zi2 gau3,3
你聽日,nei5 ting1 jat6,3
成埄,seng4 bung6,3
好正常,hou2 zing3 soeng4,3
攞正,lo2 zeng3,3
現龍,jin6 lung2,3
課龍,fo3 lung2,3
龍溜,lung4 liu1,3
扮下,baan6 haa5,3
讕係,laan2 hai6,3
𢦂係,laan2 hai6,3
乜嘢樣,mat1 je5 joeng2,3
着到,zoek3 dou3,3
有錢女,jau5 cin2 neoi2,3
呢間舖頭,ni1 gaan1 pou3 tau2,3
一間舖頭,jat6 gaan1 pou3 tau2,3
一間鋪頭,jat6 gaan1 pou3 tau2,3
成間舖頭,seng4 gaan1 pou3 tau2,3
間舖頭,gaan1 pou3 tau2,3
呢間鋪頭,ni1 gaan1 pou3 tau2,3
成間鋪頭,seng4 gaan1 pou3 tau2,3
間鋪頭,gaan1 pou3 tau2,3
姣樣,haau4 joeng2,3
周圍淝,zau1 wai4 fe4,3
四圍淝,sei3 wai4 fe4,3
淝血,fe4 hyut3,3
淝尿,fe4 niu6,3
亂淝,lyun2 fe4,3
周圍啡,zau1 wai4 fe4,3
四圍啡,sei3 wai4 fe4,3
啡血,fe4 hyut3,3
啡尿,fe4 niu6,3
亂啡,lyun2 fe4,3
多重宇宙,do1 cung4 jyu5 zau6,3
多重時空,do1 cung4 si4 hung1,3
錬,lin2,3
錬,lin6,3
不請,bat1 cing2,3
寛,fun1,3
岀,ceot1,3
唔好亂搞,m4 hou2 lyun2 gaau2,3
唔好亂攪,m4 hou2 lyun2 gaau2,3
黑咪麻麻,hak1 mi1 maa1 maa1,3
黑瞇麻麻,hak1 mi1 maa1 maa1,3
校水,gaau3 seoi2,3
打冧,daa2 lam3,3
打㨆,daa2 lam3,3
冧落,lam3 lok6,3
